/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:504:16: error: element "con-toe" not allowed yet; missing required element "modified-sfrs"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:649:19: error: element "modified-sfrs" not allowed here; expected the element end-tag or element "con-mod"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:650:63: error: element "audit-table" not allowed here; expected the element end-tag, element "section" or an element from another namespace
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:657:18: error: element "description" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:666:19: error: element "description" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:674:19: error: element "description" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:692:19: error: element "description" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:694:46: error: value of attribute "status" is invalid; must be equal to "feat-based", "mandatory", "objective", "optional" or "sel-based"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:698:19: error: element "description" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:708:46: error: value of attribute "status" is invalid; must be equal to "feat-based", "mandatory", "objective", "optional" or "sel-based"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:712:19: error: element "description" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:713:29: error: element "consistency-rationale" not allowed here; expected element "delete", "insert-after", "insert-before", "no-change", "replace" or "set-status"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:727:145: error: text not allowed here; expected element "consistency-rationale" or "from-pkg"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:728:17: error: element "no-change" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:734:20: error: element "description" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:735:29: error: element "consistency-rationale" not allowed here; expected element "delete", "insert-after", "insert-before", "no-change", "replace" or "set-status"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:748:18: error: element "description" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:789:16: error: element "no-change" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:793:17: error: element "description" not allowed yet; missing required element "consistency-rationale"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:794:28: error: element "consistency-rationale" not allowed here; expected element "delete", "insert-after", "insert-before", "no-change", "replace" or "set-status"
/home/runner/work/enterprise-session-controller/enterprise-session-controller/output/effective.xml:884:20: error: element "title" not allowed here; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "figure", "implements", "no-link", "provides", "refinement", "replace", "requires", "rule", "selectables", "snip", "testlist" or "xref" or an element from another namespace
